experiment,model_type,transform_type,use_savgol,tune_hyperparams,feature_selection_method,n_features,model_file,rmse,r2,mae,explained_variance
xgb_snv_savgol,xgb,snv,True,False,none,0,models/xgb_Brix_20250528_174731.pkl,0.2873856429689174,0.7380460227388532,0.21030847194241514,0.7386791315240337
xgb_msc_savgol,xgb,msc,True,False,none,0,models/xgb_Brix_20250528_174733.pkl,0.27055494511085904,0.7678301541942119,0.20778882344386315,0.7685670396087967
rf_snv_savgol,rf,snv,True,False,none,0,models/rf_Brix_20250528_174735.pkl,0.25919555529275695,0.7869164319431439,0.181421455913103,0.7882247985575669
rf_snv_savgol_tuned,rf,snv,True,True,none,0,models/rf_Brix_20250528_174807.pkl,0.2567538837629572,0.7909120985528157,0.18291954020632106,0.7923994655874879
rf_msc_savgol,rf,msc,True,False,none,0,models/rf_Brix_20250528_174810.pkl,0.2643890762629377,0.7782917390340803,0.18492720305206864,0.7795189679342629
svr_snv_savgol,svr,snv,True,False,none,0,models/svr_Brix_20250528_174811.pkl,0.5407522834818207,0.0725476956880241,0.424162017281897,0.09193374950226019
svr_msc_savgol,svr,msc,True,False,none,0,models/svr_Brix_20250528_174813.pkl,0.5410222968315094,0.07162125660256491,0.4242546645505541,0.09126325119769063
pls_snv_savgol_tuned,pls,snv,True,True,none,0,models/pls_Brix_20250528_174816.pkl,0.29604960914620426,0.7220134110126797,0.22555191418129444,0.7227446553752841
pls_msc_savgol_tuned,pls,msc,True,True,none,0,models/pls_Brix_20250528_174819.pkl,0.3075104693005429,0.7000736152661589,0.2343943777410893,0.7001822055320726
pls_snv_savgol_vip20,pls,snv,True,False,vip,20,models/pls_Brix_vip20_20250528_174821.pkl,0.41475298694379376,0.4544005733570611,0.33270946455936373,0.45498136927778365
pls_snv_savgol_vip50,pls,snv,True,False,vip,50,models/pls_Brix_vip50_20250528_174823.pkl,0.38104842761951374,0.5394728823793434,0.31111943308668066,0.5402449227528916
pls_snv_savgol_cars20,pls,snv,True,False,cars,20,models/pls_Brix_cars20_20250528_174824.pkl,0.3902908484326469,0.5168615556913755,0.2972417160316583,0.5170063078273197
pls_snv_savgol_cars50,pls,snv,True,False,cars,50,models/pls_Brix_cars50_20250528_174826.pkl,0.3801111463342418,0.5417356529430575,0.28604354794344183,0.5442195827189513
pls_snv_savgol_ga20,pls,snv,True,False,ga,20,models/pls_Brix_ga20_20250528_175130.pkl,0.41068634558954914,0.46504729482675555,0.33744416602858196,0.4665280143475482
pls_snv_savgol_ga50,pls,snv,True,False,ga,50,models/pls_Brix_ga50_20250528_175445.pkl,0.3485389098779203,0.6147014296766389,0.28026156877313696,0.6147522774257334
xgb_snv_savgol_vip20,xgb,snv,True,False,vip,20,models/xgb_Brix_vip20_20250528_175447.pkl,0.3197712845871051,0.6756799609385673,0.23874986854534425,0.6775141177530668
xgb_snv_savgol_vip50,xgb,snv,True,False,vip,50,models/xgb_Brix_vip50_20250528_175448.pkl,0.30013051190585754,0.7142967646515208,0.2179726854058333,0.7144155871384861
xgb_snv_savgol_cars20,xgb,snv,True,False,cars,20,models/xgb_Brix_cars20_20250528_175454.pkl,0.4545595318295679,0.34464532980228657,0.3375797048762487,0.3499426980009509
xgb_snv_savgol_cars50,xgb,snv,True,False,cars,50,models/xgb_Brix_cars50_20250528_175457.pkl,0.4027796210202757,0.48544732730054996,0.31677049055866807,0.49032362219668124
xgb_snv_savgol_ga20,xgb,snv,True,False,ga,20,models/xgb_Brix_ga20_20250528_175759.pkl,0.4137570147778525,0.45701779086936145,0.3047878414655369,0.47466101104462544
xgb_snv_savgol_ga50,xgb,snv,True,False,ga,50,models/xgb_Brix_ga50_20250528_180056.pkl,0.27516696837003496,0.7598473083530297,0.20999622800944995,0.7605862057386042
rf_snv_savgol_vip20,rf,snv,True,False,vip,20,models/rf_Brix_vip20_20250528_180058.pkl,0.27782782001143613,0.7551803216926251,0.19541379309298837,0.7599950339842219
rf_snv_savgol_vip50,rf,snv,True,False,vip,50,models/rf_Brix_vip50_20250528_180100.pkl,0.2819404867260391,0.747878576347864,0.19011877390942472,0.7488101380844523
rf_snv_savgol_cars20,rf,snv,True,False,cars,20,models/rf_Brix_cars20_20250528_180104.pkl,0.45365598163001136,0.34724810142183127,0.3386053639895394,0.3525270803766861
rf_snv_savgol_cars50,rf,snv,True,False,cars,50,models/rf_Brix_cars50_20250528_180108.pkl,0.40205054070240653,0.48730844773834037,0.3006091953822978,0.4911007964706925
rf_snv_savgol_ga20,rf,snv,True,False,ga,20,models/rf_Brix_ga20_20250528_180407.pkl,0.4509820672895393,0.3549202534677244,0.3347509578075856,0.35724755509425477
rf_snv_savgol_ga50,rf,snv,True,False,ga,50,models/rf_Brix_ga50_20250528_180655.pkl,0.26730326312894576,0.7733773146170874,0.18244444442298788,0.7745062002188933
